client_id,make_id,vehicle_type_id,model,production_year,vin_number,license_plate
1,1,1,Camry,2018,1HGBH41JXMN109186,AA1234BB
2,6,6,3 Series,2020,2T1BURHE0JC016795,CD5678EF
3,3,4,F-150,2017,1FTFW1ET5DKE12345,GH9012IJ
4,10,2,Ceed,2021,3VWFE21C04M000001,KL3456MN
5,4,3,Equinox,2019,2GNALDEK9F6123456,OP7890QR
6,2,1,Accord,2019,1HGCV1F3XJA012345,ST1122UV
7,5,2,Golf,2020,WVWZZZ1KZBW123456,WX3344YZ
8,7,1,C-Class,2021,WDD2050461F123456,AB5566CD
9,9,3,Tucson,2018,KMHJ381BAJG123456,EF7788GH
10,11,1,Altima,2017,1N4AL3AP8HC123456,IJ9900KL
11,1,3,RAV4,2022,2T3F1RFV5NC123456,MN1122OP
12,12,1,Mazda3,2019,JM1BM1W73J1123456,QR3344ST
13,13,3,Forester,2020,JF1SJGPC7LH123456,UV5566WX
14,8,1,A4,2018,WAUZZZ8K5CA123456,YZ7788AB
6,3,3,Explorer,2021,1FM5K8GC5MGB12345,CD9900EF
15,14,2,Clio,2019,VF1RJA00654123456,GH1122IJ
16,15,1,308,2020,VF3LCYHZJCS123456,KL3344MN
17,16,2,500,2017,ZFA31200000123456,OP5566QR
18,10,3,Sportage,2021,KNDPM3AC3M7123456,ST7788UV
19,4,4,Silverado,2019,1GCUKREC5KZ123456,WX9900YZ
